ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalChildren,TotalSpend,TotalPurchases,TotalCampaignsAccepted,Tenure_Days,Income_Per_Person,Spend_to_Income_Ratio,IsParent,AvgPurchaseValue
2114,1946,PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,78,0,1315,25,2,4221,82800.0,0.015881450707117065,0,50.57692307692308
9736,1980,Graduation,Married,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,44,2,96,6,0,4191,13950.0,0.002293851998757497,1,13.714285714285714
4939,1946,Graduation,Together,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,78,0,317,11,0,4306,37760.0,0.008394904795953497,0,26.416666666666668
6565,1949,Master,Married,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,75,1,1782,24,1,4097,38497.5,0.023144059431658787,1,71.28
2278,1985,2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,39,1,133,6,0,4242,16906.0,0.003933398397066217,1,19.0
9360,1982,Graduation,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,42,0,316,11,0,4329,37040.0,0.008531087173672416,0,26.333333333333332
5376,1979,Graduation,Married,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,45,1,1730,28,0,4178,1223.5,0.7066993464052288,1,59.6551724137931
1993,1949,PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,75,1,972,14,1,4192,29303.5,0.016584766584766583,1,64.8
4047,1954,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,70,1,544,17,0,3808,32662.0,0.008327592805204745,1,30.22222222222222
1409,1951,Graduation,Together,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,73,1,444,13,0,4107,20344.5,0.010911771934136151,1,31.714285714285715
7892,1969,Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,55,0,75,6,0,4182,18589.0,0.004034427111350188,0,10.714285714285714
2404,1976,Graduation,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,48,2,257,10,0,4037,17786.333333333332,0.004816341829085457,1,23.363636363636363
5255,1986,Graduation,Single,51983.0,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,38,1,637,27,0,4133,25991.5,0.012253770390889504,1,22.75
9422,1989,Graduation,Married,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,35,1,131,7,0,4033,19180.0,0.003414926618179922,1,16.375
1966,1965,PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,59,0,1672,25,1,3858,84618.0,0.019759155745163615,0,64.3076923076923
6864,1989,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,35,0,30,6,0,3677,10979.0,0.00273224043715847,0,4.285714285714286
3033,1963,Master,Together,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,61,0,318,10,0,4053,38620.0,0.008233862406462806,0,28.90909090909091
5710,1970,Graduation,Together,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,54,1,120,7,1,4266,20274.0,0.002959382475523441,1,15.0
7373,1952,PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,72,2,302,11,0,4247,15536.666666666666,0.006479157280470276,1,25.166666666666668
8755,1946,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,78,0,1196,17,0,4133,68657.0,0.017419674327827785,0,66.44444444444444
10738,1951,Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,73,2,65,5,0,3943,16463.0,0.0013160558817574407,1,10.833333333333334
4339,1970,PhD,Married,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,54,1,913,23,0,3819,33676.5,0.01355524541972266,1,38.041666666666664
10755,1976,2n Cycle,Married,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,48,1,81,6,0,3939,11859.0,0.0034149837682870272,1,11.571428571428571
8595,1973,Graduation,Widow,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,51,1,67,5,0,3777,21214.5,0.0015790714117369785,1,11.166666666666666
2968,1943,PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,81,0,902,22,1,4152,48948.0,0.01842734274448916,0,39.21739130434783
8601,1980,Graduation,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,44,1,1395,19,0,4065,40005.5,0.017434884767284907,1,69.75
503,1985,Master,Married,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,39,1,53,5,0,4113,10279.5,0.0025778210116731517,1,8.833333333333334
8430,1957,Graduation,Together,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,67,1,22,3,0,4191,10997.0,0.0010002273243919072,1,5.5
7281,1959,PhD,Single,55212.0,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,65,0,186,8,0,3875,55212.0,0.0033687718472098964,0,20.666666666666668
2139,1975,Master,Married,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,49,1,31,5,0,3909,3750.0,0.0041327822956939075,1,5.166666666666667
1371,1976,Graduation,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,48,0,984,15,0,3640,79941.0,0.012308923969878162,0,61.5
9909,1996,2n Cycle,Married,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,28,0,122,7,0,4236,7500.0,0.01626449806692441,0,15.25
7286,1968,Graduation,Together,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,56,1,55,4,0,4040,20864.0,0.0013180282297682666,1,11.0
7244,1951,Graduation,Single,51983.0,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,73,3,124,7,0,3818,12995.75,0.0023853493382579257,1,15.5
6566,1954,PhD,Married,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,70,2,1319,19,0,4237,24183.333333333332,0.018180314537359927,1,65.95
8614,1957,Graduation,Widow,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,67,1,507,16,0,3687,32743.0,0.0077419945943469695,1,29.823529411764707
4114,1964,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,60,0,1693,28,0,4326,79143.0,0.021391387849994947,0,58.37931034482759
1331,1977,Graduation,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,47,1,72,5,0,4182,17895.0,0.0020116789136933864,1,12.0
2225,1977,Graduation,Divorced,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,47,0,1617,20,2,3661,82582.0,0.019580301030478427,0,77.0
9381,1978,Graduation,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,46,2,606,16,0,4021,22124.333333333332,0.009130081055835116,1,35.64705882352941
6260,1955,Master,Together,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,69,0,1957,26,1,4226,82384.0,0.023754324209504157,0,72.48148148148148
10383,1966,Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,58,0,1093,20,0,4092,70287.0,0.015550307307079445,0,52.04761904761905
7437,1988,Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,36,1,29,5,0,3701,13969.0,0.0010379755896775117,1,4.833333333333333
8557,1982,Graduation,Single,51983.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,42,1,46,5,0,4016,25991.5,0.0008848876577408433,1,7.666666666666667
8375,1968,PhD,Married,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,56,1,518,16,0,3757,27977.0,0.009257439013492985,1,30.470588235294116
6853,1982,Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,42,0,1438,20,2,3999,75777.0,0.018976483939929796,0,68.47619047619048
3076,1975,Graduation,Together,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,49,2,612,18,0,4299,22217.666666666668,0.009181744531460978,1,32.21052631578947
1012,1952,Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,72,1,884,20,0,4135,30911.5,0.014298654244306418,1,42.095238095238095
6518,1951,PhD,Widow,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,73,1,606,18,0,4022,33840.0,0.00895376841358727,1,31.894736842105264
4137,1948,Graduation,Together,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,76,0,1076,15,0,3844,70666.0,0.015226343271965698,0,67.25
8082,1971,Graduation,Married,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,53,1,34,4,0,4043,12860.5,0.0013218256745198662,1,6.8
1386,1967,Graduation,Together,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,57,2,11,3,0,3688,10824.666666666666,0.0003387220939183988,1,2.75
9369,1979,2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,45,1,1274,31,2,3741,44097.0,0.014445263336923862,1,39.8125
4477,1958,Graduation,Together,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,66,1,653,17,0,3914,34548.0,0.009450482654818588,1,36.27777777777778
1357,1970,Graduation,Together,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,54,3,1562,12,0,4086,18713.5,0.020867009551800146,1,120.15384615384616
1402,1954,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,70,0,1253,18,0,4295,66991.0,0.01870372581800812,0,65.94736842105263
10629,1973,2n Cycle,Married,46805.0,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,51,1,109,6,0,4292,23402.5,0.0023287612699226597,1,15.571428571428571
6312,1959,Graduation,Married,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,65,1,863,26,0,4108,32515.5,0.013270389961864928,1,31.962962962962962
8132,1975,PhD,Married,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,49,2,661,19,1,4089,20210.333333333332,0.010901834015041563,1,33.05
1050,1952,Graduation,Married,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,72,0,65,7,0,3699,28332.0,0.0022941446369957293,0,8.125
5846,1977,Graduation,Divorced,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,47,1,13,3,0,4196,20123.0,0.000323005441399359,1,3.25
1859,1972,Master,Married,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,52,0,1890,18,0,4310,75251.0,0.0251156115452081,0,99.47368421052632
7503,1976,Graduation,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,48,0,2209,22,1,4264,75825.0,0.02913248753725635,0,96.04347826086956
10401,1976,2n Cycle,Together,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,48,0,18,3,0,3937,26326.0,0.0006837087400767273,0,4.5
1618,1965,Graduation,Together,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,59,0,692,19,1,4182,56046.0,0.01234678038075187,0,34.6
3332,1985,Graduation,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,39,1,165,8,0,4308,14880.0,0.005544168542723699,1,18.333333333333332
2261,1969,Graduation,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,55,1,16,3,0,4010,13152.0,0.0006082493822467212,1,4.0
5346,1973,2n Cycle,Married,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,51,1,79,6,0,4000,11779.5,0.0033531409168081495,1,11.285714285714286
4119,1963,Master,Together,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,61,0,318,10,0,4053,38620.0,0.008233862406462806,0,28.90909090909091
535,1987,Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,37,0,778,26,0,3763,81361.0,0.009562203485656695,0,28.814814814814813
5268,1960,Graduation,Married,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,64,2,56,5,0,3961,9813.333333333334,0.0019021093033524676,1,9.333333333333334
273,1970,Master,Married,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,54,2,151,8,1,3987,12046.0,0.004178311519411162,1,16.77777777777778
4452,1957,Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,67,1,372,13,2,3671,25194.0,0.007382563654765921,1,26.571428571428573
8504,1973,Graduation,Married,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,51,0,1366,18,1,3687,79593.0,0.017162097645551173,0,71.89473684210526
771,1967,Graduation,Together,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,57,1,194,9,0,3798,27089.0,0.0035807231584193138,1,19.4
8996,1957,PhD,Married,55212.0,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,67,3,603,17,0,4226,13803.0,0.010921340988535309,1,33.5
9235,1957,Graduation,Single,51983.0,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,67,2,18,3,0,3672,17327.666666666668,0.00034626038781163435,1,4.5
5798,1973,Master,Together,50943.0,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,51,0,985,14,0,3857,50943.0,0.019334956030150754,0,65.66666666666667
11178,1972,Master,Single,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,52,1,32,4,0,3737,21197.0,0.0007548059912725557,1,6.4
2230,1970,PhD,Married,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,54,1,43,7,0,3675,11813.0,0.0018199517501163922,1,5.375
7516,1983,Graduation,Married,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,41,1,45,5,0,3677,15048.0,0.001495165631126026,1,7.5
7247,1960,Graduation,Widow,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,64,1,606,17,1,4223,23958.0,0.012646868543523175,1,33.666666666666664
11100,1972,Graduation,Divorced,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,52,2,63,5,0,4083,17271.0,0.001215887597946501,1,10.5
4646,1951,2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,73,0,978,24,1,3849,78497.0,0.012458916150729955,0,39.12
3037,1983,PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,41,0,410,14,0,4013,50150.0,0.008175310562102451,0,27.333333333333332
1473,1960,2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,64,1,72,5,0,3980,23911.5,0.0015055202408832385,1,12.0
1016,1959,PhD,Single,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,65,1,55,5,0,3730,17277.0,0.0015916654608594994,1,9.166666666666666
4518,1979,Graduation,Together,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,45,1,1169,25,0,4074,42846.5,0.013641561836301257,1,44.96153846153846
9370,1945,PhD,Married,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,79,0,1120,15,0,4047,65846.0,0.017009127219159568,0,70.0
8908,1959,Graduation,Married,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,65,0,1097,19,0,3691,87195.0,0.01258085233267581,0,54.85
8373,1979,Basic,Together,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,45,1,29,4,0,3840,12297.0,0.0011791014433828013,1,5.8
7533,1964,Graduation,Married,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,60,2,187,9,0,3917,16365.333333333334,0.0038087866875776526,1,18.7
2683,1969,Graduation,Married,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,55,2,910,22,0,4151,17471.0,0.017361773571946428,1,39.56521739130435
3629,1978,Graduation,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,46,1,145,7,0,4196,19278.5,0.003760568494216505,1,18.125
10991,1960,Master,Married,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,64,0,850,13,0,4208,89058.0,0.009544234720803063,0,60.714285714285715
5077,1979,Graduation,Together,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,45,1,969,23,0,3878,38649.0,0.012535737849131295,1,40.375
7431,1991,PhD,Single,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,33,0,1820,16,1,4235,68126.0,0.026714812042215274,0,107.05882352941177
3267,1963,Master,Together,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,61,1,608,17,1,3643,28644.0,0.010612857616645429,1,33.77777777777778
999,1991,Graduation,Single,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,33,0,730,24,2,4182,86037.0,0.008484623073525651,0,29.2
9215,1980,PhD,Married,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,44,1,551,16,0,4203,21987.0,0.01252984650369528,1,32.411764705882355
2286,1962,Graduation,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,62,2,114,6,0,3931,16928.333333333332,0.0022447131099121807,1,16.285714285714285
1592,1970,Graduation,Married,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,54,0,1724,15,2,3795,90765.0,0.01899389639292246,0,107.75
367,1978,2n Cycle,Married,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,46,1,577,15,0,4134,18275.0,0.015786161801318706,1,36.0625
5234,1967,2n Cycle,Together,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,57,2,81,5,0,3992,10251.0,0.0026338037328477596,1,13.5
9862,1969,Graduation,Together,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,55,1,33,5,0,3866,10959.0,0.001505543136091975,1,5.5
9805,1953,Master,Together,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,71,1,660,18,0,4013,28064.5,0.011758417958311064,1,34.73684210526316
6205,1967,Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,57,1,80,6,0,3764,16278.5,0.0024571533878002334,1,11.428571428571429
8442,1985,Master,Married,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,39,2,30,4,0,3937,6503.333333333333,0.0015375941776433807,1,6.0
7386,1976,Graduation,Divorced,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,48,1,43,4,0,4072,15496.0,0.001387410060336205,1,8.6
7215,1983,Graduation,Single,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,41,0,1135,27,3,4113,101970.0,0.011130615567171058,0,40.535714285714285
1491,1965,2n Cycle,Together,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,59,0,559,14,0,4135,71488.0,0.007819384800458812,0,37.266666666666666
11071,1984,Graduation,Single,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,40,0,1923,15,0,4073,79607.0,0.024155863732288212,0,120.1875
3381,1953,Master,Married,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,71,2,90,6,0,3660,18116.0,0.0016559642311726067,1,12.857142857142858
8268,1961,PhD,Married,55212.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,63,1,404,14,0,3992,27606.0,0.007317117345552678,1,26.933333333333334
11051,1956,PhD,Together,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,68,2,661,19,0,3689,25792.0,0.008542590175375111,1,33.05
8026,1952,Graduation,Married,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,72,1,463,14,0,3911,31499.0,0.007349323005127066,1,30.866666666666667
433,1958,Master,Single,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,66,2,632,18,0,4115,20443.666666666668,0.010304571838518229,1,33.26315789473684
9597,1969,Graduation,Married,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,55,0,725,18,0,3778,73448.0,0.009870794701085107,0,38.1578947368421
1295,1963,Graduation,Married,51983.0,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,61,1,725,18,0,3961,25991.5,0.013946598953524162,1,38.1578947368421
5290,1964,PhD,Married,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,60,2,279,11,0,3958,13850.333333333334,0.00671447824412784,1,23.25
1685,1967,PhD,Together,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,57,0,1482,22,1,4108,62981.0,0.023530532533104696,0,64.43478260869566
5342,1976,Basic,Divorced,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,48,1,29,4,0,4329,4774.0,0.003036967221698607,1,5.8
9579,1959,PhD,Married,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,65,3,106,6,0,3996,8440.5,0.0031395314397417292,1,15.142857142857142
